,Polarity,UserComments,Polarity_type,Label
1029,0.361111111,best featur card spend done within first month get cashback subject min spend k,Positive,1
1030,0.8,user sbi simpli save card year great choic reward,Positive,1
1033,0.3,got mileston bonu reward card redeem indigo voucher worth inr,Positive,1
1034,0.7,good number save came way fuel expens card,Positive,1
1035,0.416666667,suprem happi fine offer acceler reward card,Positive,1
1036,1,everi reward point hold valu inr perfect card,Positive,1
1040,1,like reward sbi alway best,Positive,1
1044,0.5,lifestyl benefit card definit better card,Positive,1
1049,0.35,friend approach citi bank credit card appli card onlin sill yet start use card much benefit reward payabl card credit limit okay simpl document process,Positive,1
1052,0.708333333,perfect lifestyl card fine array benefit,Positive,1
1054,0.333333333,reward earn rate platinum credit card super amaz,Positive,1
1055,0.37,icici best life time free card use card past month sinc friend suggest appli directli bank platinum card credit limit good k emi convers avail charg yet done monthli use card restaur fuel shop get cash back reward point discount also avail,Positive,1
1056,0.366666667,use standard charter card month sinc maintain salari account got pre approv card offer within week receiv card life time free card credit limit k provid emi convers applic nomin charg use shop restaur fuel get good point,Positive,1
1057,0.5,love reward sbi card go increas everi pass month,Positive,1
1058,0.4,scb ultim card custom enjoy array dine lifestyl travel benefit,Positive,1
1059,0.4,total recommend card sbi bring great varieti reward groceri shop,Positive,1
1062,1,reward reward redempt scheme card best,Positive,1
1063,0.35,movi discount along dine reward true reason opt card,Positive,1
1065,0.7,good fuel dine discount applic card,Positive,1
1069,0.5,glad renew fee payment brought renew reward,Positive,1
1071,-0.25,small fee paid sbi redempt reward accru card,Negative,0
1076,0.4,citi bank use indian oil platinum credit card year life time free card given spend yearli rs k need pay annual charg appli card directli bank mostli use card fuel purpos groceri purpos,Positive,1
1077,0.85,perfect card amaz reward good cashback offer,Positive,1
1079,0.305555556,total love fine degre reward movi dine card,Positive,1
1081,1,amaz excit number reward sbi card brought way best,Positive,1
1082,0.375,super content happi satiat fine mix benefit reward card,Positive,1
1084,0.7,redeem bonu reward point travel voucher got good save,Positive,1
1086,1,sbi alway forev favourit best bank amaz choic reward,Positive,1
1087,0.7,happi found card sbi good valu card reward almost spend,Positive,1
1088,0.5,glad could redeem reward airlin mile,Positive,1
1089,0.5,glad apparel lifestyl voucher awesom card,Positive,1
1091,0.6,use mark spencer voucher got welcom gift shop nice pair heel,Positive,1
1092,0.7,good mix reward save get card,Positive,1
1093,0.5,cashback benefit card love,Positive,1
1099,0.7,content earn good number reward card,Positive,1
1106,0.8,cant believ got reward credit card sbi great,Positive,1
1107,-0.3,year card complaint regret truli reward experi,Negative,0
1108,0.7,sbi grant good welcom benefit form gift voucher sever travel lifestyl brand,Positive,1
1113,0.275,spend first month got bonu reward point worth,Positive,1
1115,0.5,use hdfc credit card monthsit perfect card face issu use card use card mostli shoppingth credit limit card dont know reward point check custom servic excel satisfi card one thing would like suggest creat onlin app help net bank,Positive,1
1117,0.416666667,use sbi elit card two year fine rewardbas card bring reward dine shop,Positive,1
1120,0.35,sbi provid annual fee chargeabl card rupe spend l within year waiver option receiv call time process done time within week receiv card emi convers applic charg nomin credit limit k low need offer provid onlin purchas get good reward point,Positive,1
1127,1,redeem accru reward point differ merchant perfect,Positive,1
1132,0.8,everi reward point make rs card great,Positive,1
1135,0.311111111,hdfc card im use almost one year whatev credit limit given less suffici life time free credit card also custom servic provid good servic mostli use card shop purpos,Positive,1
1136,0.5,love excel reward program sbi elit card,Positive,1
1139,0.85,get perfect lifestyl benefit also get good travel reward card,Positive,1
1143,0.708333333,fine varieti divers reward sbi make best,Positive,1
1145,0.5,love card bring valueback fuel cost,Positive,1
1147,0.353333333,sbi credit card use past month fuel benefit movi ticket offer much comfort facil convert emi quit interest good credit limit increas good rest fine,Positive,1
1150,0.4,shop onlin offlin enjoy mani offer reward cashback card,Positive,1
1152,0.5,love card sbi bring mega save fuel movi dine,Positive,1
1153,0.35,purchas ticket via irctc ac ac ac ac cc got good valu back reward valu,Positive,1
1157,0.6,hold simpli save card sbi use almost year life time free card given good credit limit custom servic good respons immedi use travel book flight ticket book shop fuel,Positive,1
1158,0.4,duti free shop get cashback spend done fashion store get cashback,Positive,1
1159,0.7,content happi good deal reward applic card,Positive,1
1160,0.4,happen consum signific valu fuel everyday basi natur perfect card,Positive,1
1161,0.35,sever partner member hsbc bring good extra point shop hsbc,Positive,1
1163,0.6,redeem reward point shop nice bluetooth speaker,Positive,1
1165,1,happi could easili redeem reward point flight book perfect,Positive,1
1167,0.7,made good use sbi reward point got statement credit,Positive,1
1168,0.75,reward facil hsbc card perfect love,Positive,1
1169,0.55,pay electr bill fill fuel shop purpos purchas credit card state bank india card facil good smooth use gave limit rs lakh annual fee rs waiver option applic contact custom care number chang pin number respons prompt,Positive,1
1170,0.7,get good number reward card groceri dine shop etc,Positive,1
1171,0.7,chosen citi bank card need tri reward point good face difficulti appli credit card got card without delay use daili routin purpos easi use realli satisfi servic,Positive,1
1173,0.7,happi good amount reward earn card good advantag card,Positive,1
1177,0.9,brilliant card bring lot save form reward cashback,Positive,1
1178,0.416666667,impress fine degre benefit reward applic card,Positive,1
1186,1,dont think could gotten reward perfect card bank,Positive,1
1187,0.5,glad sbi got inr reward point payment renew fee,Positive,1
1189,0.625,best thing card bank complet compens first year fee welcom reward,Positive,1
1190,0.8,great credit card everi inr spend get reward point,Positive,1
1192,0.7,three year use card good rewardbas card,Positive,1
1193,0.7,like everi spend sbi card fetch good varieti reward cashback benefit offer,Positive,1
1197,0.333333333,redeem reward point accru period year get quick statement credit,Positive,1
1199,0.3,everi retail spend worth inr laud reward point,Positive,1
1203,0.4,start use hsbc credit card mostli use shop got reward point st month gone happi credit limit free card mostli prefer zero annual charg card opt get movi ticket offer,Positive,1
1204,1,railway offer reward get card best,Positive,1
1207,0.35,everi year pay renew fee card entir year full reward,Positive,1
1208,0.4,easi convert turbo point free fuel indian oil card,Positive,1
1209,0.7,chosen sbi card sinc got offer credit limit rs suffici increas good cash limit rs annual chargeabl card credit card sanction time whenev shop get reward point fuel benefit overal use,Positive,1
1210,0.5,love massiv varieti reward benefit get card,Positive,1
1216,1,went shop reward plan icici perfect,Positive,1
1218,0.5,glad get x reward point department store spend,Positive,1
1220,0.7,definit good card scheme good reward incred cashback offer,Positive,1
1225,0.85,benefit good reward best could ask,Positive,1
1229,0.4,obvious great card multitud reward offer,Positive,1
1231,0.7,shop thing department store get good varieti reward,Positive,1
1235,1,made use reward point fuel refil best,Positive,1
1236,0.333333333,super happi abund benefit reward voucher avail card,Positive,1
1238,0.55,enjoy shop sbi simpli save card sinc get good number reward,Positive,1
1240,1,couldnt ask reward scheme card sbi best,Positive,1
1243,0.5,glad use accru reward point sbi util bill payment,Positive,1
1245,0.372222222,use standard charter bank credit card around year initi get offer like good join benefit give discount fuel sur charg waiver given credit limit fine initi charg annual fee waiv everi time need contact custom care servic connect also,Positive,1
1251,0.7,part sbi loyalti program earn good varieti reward railway book,Positive,1
1252,0.7,good cashback shop type card wherein get cashback per shop,Positive,1
1257,-0.4,earn regular reward also get acceler reward base spend,Negative,0
1260,0.333333333,super happi sbi card massiv reward get reward spend,Positive,1
1264,-0.7,dont like reward rate card bad,Negative,0
1275,0.296666667,citi provid annual fee chargeabl k waiver option process good within day got card credit limit low around l expect got k cash limit k done first payment without issu use card daili purpos got good reward point done less transact k havent emi convers yet,Positive,1
1277,0.3,spend worth lac got mileston reward sbi,Positive,1
1280,0.7,welcom fee payabl sbi elit card fetch good varieti reward discount,Positive,1
1284,0.8,particularli impress great reward offer get card,Positive,1
1285,0.566666667,sbi taken credit card annual charg card rs fee waiver start use card travel purchas air ticket plan buy ac later given good credit limit also get best reward,Positive,1
1287,1,amaz dine shop offer along varieti airlin benefit perfect,Positive,1
1297,0.7,everi year good degre save shop fuel dine card,Positive,1
1299,0.55,hdfc use regalia credit card year get airport loung benefit prioriti pass fuel overal spend rs k credit limit suffici given rs lakh annual free card bank offer movi ticket offer aswel quit good,Positive,1
1301,0.386666667,hdfc bank credit card nice use card form year got life time free cardus card purchasesshop line payment mobil bank function well interest rate high wish bank ca improv,Positive,1
1306,0.261111111,spend done first day date card issuanc subject minimum spend get good cashback,Positive,1
1308,0.3,got welcom reward worth point welcom gift,Positive,1
1309,0.4,duti free store get cashback deal,Positive,1
1311,0.5,glad receiv x reward amazon portal card,Positive,1
1313,-0.25,happi small fee chargeabl redempt reward,Negative,0
1318,-0.325,use hdfc titanium card year annual fee chargeabl card rupe credit limit wasl initi k time enhanc done emi convers done mani time easi convert nomin charg use card normal bill payment rent payment recharg shop base usag get reward point yet redeem,Negative,0
1323,0.333333333,super content opt reward plan pertain shop offer benefit groceri supermarket retail fashion electron,Positive,1
1325,0.7,movi dine department store shop get good reward point,Positive,1
1327,0.416666667,satiat fine varieti benefit reward get sbi card,Positive,1
1329,0.8,reward redempt polici sbi great could redeem point redempt catalogu,Positive,1
1333,0.4,card wherein enjoy fab reward system,Positive,1
1337,0.7,everi groceri shop done card get good valu reward,Positive,1
1338,1,facil reward cashback offer card best,Positive,1
1339,0.7,amaz lifestyl benefit assur card good,Positive,1
1341,0.5,glad everi inr spend non fuel retail store get reward point,Positive,1
1343,0.7,happi satiat save good degre form reward cashback benefit card,Positive,1
1352,0.55,enjoy shop sbi simpli save card sinc get good number reward,Positive,1
1354,0.4,got call time sbi card process verif process went smooth got card time credit limit intim banker would get l got k emi convers avail annual fee card k use card mostli shop,Positive,1
1355,1,use reward point accru sbi card payment bill perfect card,Positive,1
1356,0.35,low cost card good valu reward,Positive,1
1359,0.5,glad save fuel amount credit card,Positive,1
1362,0.6,done transact use citi bank credit card card good use credit limit ok without delay got card appli reward card got card chosen credit card sinc got offer agent clearli share detail card process,Positive,1
1363,0.4,enjoy multitud benefit groceri shop travel sbi card,Positive,1
1364,0.3,redeem sbi reward shop n smile reward catalogu,Positive,1
1368,0.333333333,super recommend card multipl travel lifestyl privileg applic,Positive,1
1370,0.7,happi receiv good varieti reward card,Positive,1
1378,0.468181818,make great use accru sbi reward point use shop new watch catalogu,Positive,1
1385,0.4875,hdfc snap deal credit card life time free card gave normal credit limit emi facil avail card use use credit card fuel purchas surcharg avail also shop sinc discount good forward monthli statement transact mail correctli overal servic good happi servic,Positive,1
1386,0.8,sbi reward point incred way avail great gift,Positive,1
1387,1,feel lifestyl offer get card perfect,Positive,1
1390,0.7,get massiv reward fuel refil also get good varieti reward shop dine groceri spend card,Positive,1
1392,0.35,chose credit card hdfc offer along salari account provid good credit limit dont charg annual fee emi convers facil avail card money back credit card get reward point use card almost year increas limit upgrad card,Positive,1
1394,0.4,shop duti free store incred reward bring save cashback,Positive,1
1395,0.366666667,year purchas reward card citi banker approach appli card kind benefit like indian oil card okay card use credit card limit rs send offer messag regular basi use also like insta cash loan card rectifi issu time citi bank custom care,Positive,1
1400,0.58,perfect credit card sinc incred high reward,Positive,1
1404,0.6,overal reward rate sbi incred good love card,Positive,1
1405,0.8,turbo point indian oil card hold valu inr fuel great,Positive,1
1406,0.403571429,use sbi card year annual fee chargeabl card k option waiver option certain amount usag within year credit limit suffici l custom servic good get immedi respons get good benefit cash back onlin shop fuel dine purpos,Positive,1
1407,0.2875,use citi indian oil credit card provid exclus offer fueli satisfi credit limit good discount shop use movi ticket offer use credit card past month cash back offer pretti good,Positive,1
1409,1,sinc alway prefer reward cashback find sbi elit card perfect,Positive,1
1410,0.35,obvious good card phenomen cashback offer,Positive,1
1411,0.5,bank better justic one term reward,Positive,1
1413,0.5,use hdfc credit card monthsit perfect card face issu use card use card mostli shoppingth credit limit card dont know reward point check custom servic excel satisfi card one thing would like suggest creat onlin app help net bank,Positive,1
1415,0.5,bank offer better reward cashback one sbi,Positive,1
1416,0.575,obvious great card perfect scheme reward love,Positive,1
1419,0.607142857,certain card assur perfect save fuel cost,Positive,1
1420,0.4,everi time shop card get reward back aggress great card,Positive,1
1421,0.6,best part sbi card save much fuel cost,Positive,1
1423,0.5,glad beyond fuel save save supermarket shop groceri,Positive,1
1425,0.35,reward point equal inr good icici,Positive,1
1426,0.333333333,super happi reward bounti sbi card,Positive,1
1428,0.5,took travel plan reward rubyx credit card love,Positive,1
1429,0.6,bank servic state bank india nice provid lot offer discount satisfactori help day everyon prefer onlin shop go person mostli use groceri fuel,Positive,1
1430,1,reward point hold valu equival inr fuel card best,Positive,1
1435,1,truli perfect comprehens reward scheme like,Positive,1
1436,0.5,perfect card hsbc low cost reward,Positive,1
1440,0.3,paid join fee inr got reward point worth inr,Positive,1
1451,0.5,love credit card sinc pack sever lifestyl benefit,Positive,1
1453,0.5,glad opt sbi simpli save reward card brought number benefit reward,Positive,1
1456,0.7,shop department store shop groceri get good deal card,Positive,1
1461,0.3,card sbi nomin join fee inr pay join fee even got reward point worth,Positive,1
1467,0.65,sbi best let use accru reward point shop shop n smile store,Positive,1
1468,0.468181818,make great use accru sbi reward point use shop new watch catalogu,Positive,1
1474,0.403571429,use sbi card year annual fee chargeabl card k option waiver option certain amount usag within year credit limit suffici l custom servic good get immedi respons get good benefit cash back onlin shop fuel dine purpos,Positive,1
1475,0.416666667,cannot get fine varieti benefit cashback valueback discount get card,Positive,1
1477,0.275555556,card decent welcom fee may seem littl high compar benefit reward love,Positive,1
1478,0.366666667,use sbi card month got offer bank directli free card given suffici credit limit mostli use shop groceri super market purchas card lot reward point moreov give buy get movi ticket benefit plu get kfc voucher,Positive,1
1480,0.38,icici given easi option convert emi either mobil app net bank rather call banker rais request feel best bank charg nomin use card year life time free card credit limit okay k increas limit second time refus platinum card use card onlin purchas fuel purpos,Positive,1
1481,0.4,enjoy valueback discount fuel spend card,Positive,1
1482,0.9,ideal card design cater shop need provid amaz deal spend,Positive,1
1485,0.8,great offer pack credit card phenomen reward bonus,Positive,1
1491,0.4,enjoy abund onlin movi shop voucher credit card,Positive,1
1493,0.8,redeem reward point get statement credit great advantag,Positive,1
1495,0.7,peopl lot shop eat good card,Positive,1
1497,0.3,umpteen varieti reward benefit cashback applic make card worth,Positive,1
1499,1,get fab lifestyl reward card best,Positive,1
1500,0.5,love credit card amaz benefit cashback airmil reward,Positive,1
1501,0.4,realli enjoy fact card bring plethora shop discount,Positive,1
1509,0.7,save earn good reward indian oil citi bank card,Positive,1
1510,0.3,everi inr spent retail get good valu reward point,Positive,1
1511,0.375,super satiat fine mix benefit reward get card,Positive,1
1512,0.5,lot welcom gift came way includ e voucher top lifestyl travel brand,Positive,1
1515,0.4,use icici card month sinc hold account got pre approv card offer receiv card week life time free credit limit k cash limit near rupe emi convers applic nomin charg use card fuel onlin shop like flipkart amazon henc get good point discount,Positive,1
1518,1,like everi reward point account inr perfect,Positive,1
1521,0.3,payment inr join fee got reward worth inr,Positive,1
1523,0.383333333,use sbi credit card realli good use good benefit credit limit mark sinc expect changeabl card movi ticket offer discount shop use credit card past day,Positive,1
1526,0.35,hdfc peopl provid excel servic good card use assign relationship manag henc guy call everi week ask servic want use card almost year salari account bank given card keep get loan offer offer like reward point never use offer dont use card regular basi,Positive,1
1533,1,card reward point cumul make inr perfect,Positive,1
1534,-0.25,small fee redempt reward point sbi,Negative,0
1535,0.4,love get reward point make purchas worth groceri card,Positive,1
1536,1,like credit card perfect reward rate,Positive,1
1542,0.416666667,save fuel fine benefit avail card,Positive,1
1544,1,paid inr redempt reward perfect,Positive,1
1545,1,best part citi bank premier mile card reward card never expir,Positive,1
1550,1,perfect card even perfect scheme reward like,Positive,1
1552,0.505555556,enjoy good movi offer fine dine offer excit shop offer card,Positive,1
1553,1,perfect scheme card even perfect reward redempt mechan,Positive,1
1554,1,happi reward program amex card perfect,Positive,1
1555,0.333333333,super satiat massiv reward credit card,Positive,1
1557,0.55,enjoy club vistara membership fetch good reward,Positive,1
1559,1,happi sbi card perfect got discount onlin shop,Positive,1
1560,0.375,reward earn rate card super fine,Positive,1
1564,0.7,redeem turbo point fuel got good save card,Positive,1
1565,0.7,could redeem sbi reward point gift catalogu good benefit,Positive,1
1566,0.3,spend inr lac got reward point worth,Positive,1
1569,0.7,enjoy multitud reward point sbi card best card ever,Positive,1
1570,0.5,love credit card massiv varieti reward offer,Positive,1
1573,1,earn mega reward credit card perfect,Positive,1
1574,0.275,cumul spend first month got reward worth,Positive,1
1584,0.6,document smooth good citi bank day receiv card credit limit suffici given rs k need increas credit limit annual charg card rs would good return gift voucher mostli use card everi day spend like groceri onlin shop,Positive,1
1587,0.416666667,reward card fine rang reward benefit,Positive,1
1588,0.5,glad opt card lot fuel save,Positive,1
1591,0.263888889,sbi definit better bank other especi term fine varieti reward cashback,Positive,1
1592,0.5,glad opt card excel benefit reward scheme,Positive,1
1594,-0.3,absolut complaint sbi card multitud reward cashback,Negative,0
1595,0.416666667,use sbi elit card two year fine benefit card travel shop groceri reward,Positive,1
1596,0.275,first spend inr sbi card got reward point inr worth bm voucher,Positive,1
1598,-0.25,liter earn redeem mani mileston reward card past year,Negative,0
1601,0.3,reward credit card sinc hold citi bank card much benefit like reward point discount redeem point indian oil petrol free card given suffici credit limit rs l emi option avail mostli use shop fuel purpos quarterli get airport loung access domest intern,Positive,1
1608,1,went shop reward plan icici perfect,Positive,1
1610,0.366666667,quick hassl free redeem reward point yatracom,Positive,1
1611,0.35,made full use reward point shop catalogu sbi,Positive,1
1612,1,perfect reward facil avail card amaz,Positive,1
1615,1,everi reward point add inr best card,Positive,1
1616,0.511111111,glad reward benefit card super good,Positive,1
1618,0.7,card fetch good deal shop done department store,Positive,1
1620,1,use reward payment credit card bill best,Positive,1
1623,0.7,got good renew reward ultim card scb,Positive,1
1625,0.55,acord custom servic pretti good icici bank credit limit suffici card taken bank life time free card fuel benefit airort loung access din benefit promot offer come time time paperless approv sinc salari account,Positive,1
1628,0.283333333,sbi govern safe bought credit card get reward point cashback till date receiv welcom gift receiv first month bill clear understand gave limit rs lakh need pay annual fee rs waiver option,Positive,1
1630,0.366666667,fuel cost super cheap get x reward point card along transact waiver addit goi,Positive,1
1632,0.5,love multitud offer discount cashback get card,Positive,1
1634,0.275,first month made transact got reward worth,Positive,1
1639,0.283333333,sbi credit card taken bank chargeabl card need pay rs yearli chang free card mostli use shop convert emi option pretti good use card past year conveni overal servic,Positive,1
1641,1,absolut surcharg waiver fuel icici best,Positive,1
1643,0.8,reward point hold valu inr great card,Positive,1
1644,0.333333333,super happi reliev reward benefit bring massiv save,Positive,1
1647,0.555555556,great card decent interest cost good reward,Positive,1
1648,0.8,great benefit reward receiv shop sbi card,Positive,1
1650,0.5,love card sbi keep bring mani fascin reward way,Positive,1
1651,0.416666667,suprem impress fine varieti deal offer cashback benefit avail card,Positive,1
1654,0.375,super content happi got sbi card incred reward card fine varieti benefit,Positive,1
1656,0.65,movi offer dine reward great love,Positive,1
1657,0.4,especi enjoy manner redempt reward air mile,Positive,1
1663,0.7,credit card good fetch fuel cost,Positive,1
1667,0.5,like conveni get vast varieti number reward sbi best,Positive,1
1670,0.4,got travelspecif hdfc credit card luckili got chanc experi travel perk septemb good card satisfactori reward rate highli recommend hdfc credit card frequent travel,Positive,1
1672,0.7,get massiv reward fuel refil also get good varieti reward shop dine groceri spend card,Positive,1
1676,0.9,brilliant card bring lot save form reward cashback,Positive,1
1679,0.333333333,super satiat fuel save come way card,Positive,1
1680,0.283333333,benefit cashback reward point main reason choos credit card hsbc get mainli onlin shop offer like variou websit restaur get free loung access airport ask provid voter id verif avail henc havent given havent contact happi process execut behavior polit came document collect,Positive,1
1682,0.5,love mani reward bonus cashback get sbi card,Positive,1
1684,0.8,comparison bank reward sbi card unbeliev great,Positive,1
1685,0.8,choos hdfc credit card good decis made custom servic good alway respond without delay use card bill payment dmart got reward point redeem itth best part card intern card,Positive,1
1687,0.333333333,super satiat benefit reward scheme applic card,Positive,1
1690,0.5,perfectli reward credit card love,Positive,1
1692,0.5,icici bank provid good credit card lot offer travel fuel surcharg buy one get one free movi ticket everi month along mani reward point also life time free cardth card conveni use credit card payment bank,Positive,1
1695,0.4875,hdfc snap deal credit card life time free card gave normal credit limit emi facil avail card use use credit card fuel purchas surcharg avail also shop sinc discount good forward monthli statement transact mail correctli overal servic good happi servic,Positive,1
1697,0.516666667,super good card amaz benefit deal cashback offer,Positive,1
1700,1,perfect card peopl travel eat shop,Positive,1
1702,0.35,get full surcharg cost waiver fuel purchas made card,Positive,1
1704,0.2875,taken sbi credit card shop purpos use past monthth agent share inform card process credit limit good chargeabl card need pay rs yearli basi easi use accept place option convert emi usefulther cash back offer reward point good,Positive,1
1705,0.8,kind benefit reward get card simpli best,Positive,1
1712,0.75,glad opt reward plan credit card superb,Positive,1
1715,0.6,kind reward get card realli nowher found,Positive,1
1717,0.416666667,super glad fine mix reward cashback mileston bonus come way card,Positive,1
1718,0.4,use sbi credit card taken onlin get reward point good also fuel benefit card deliv time credit limit ok day agent gave relev detail card process proper callback well follow bank end,Positive,1
1723,0.4,like card bring huge cashback reward offer,Positive,1
1727,0.7,enjoy sbi elit card perfect benefit reward everi month,Positive,1
1732,0.333333333,super happi card sbi reward benefit,Positive,1
1737,0.5,like perfectli reward credit card love,Positive,1
1743,0.5,use icici card one year provid annual fee chargeabl card waiver option applic credit limit okay k sinc need purchas k month limit suffici swipe card travel shop fuel purpos opt emi convers,Positive,1
1747,0.705555556,best part use sbi elit card bring good varieti reward fine degre cashback,Positive,1
1750,0.3,get voucher worth onlin shop movi year card,Positive,1
1751,0.577777778,redeem reward quick hassl free bpcl best,Positive,1
1754,0.333333333,super amaz divers natur reward benefit cashback offer sbi,Positive,1
1763,0.255,true fee pretti high voucher benefit reward cashback make,Positive,1
1764,0.5,glad cap number reward earn card,Positive,1
1765,0.625,icici credit card two year feel good face issu best part card life time free card use get card statement time use card shop groceri mani person purposesi use bank mobil app function smooth simpl,Positive,1
1768,0.416666667,satiat fine mix entertain reward shop benefit come way card,Positive,1
1778,0.333333333,loyal custom amex bank get massiv deal movi dine shop done card,Positive,1
1779,0.7,happi card bring good array reward benefit,Positive,1
1785,1,perfect card humong varieti shop benefit,Positive,1
1788,1,offici websit irctc hand best get travel reward card,Positive,1
1789,0.375,super satiat fine mix reward benefit applic card,Positive,1
1791,0.333333333,reward redempt system sbi super easi redeem reward payment bill,Positive,1
1793,1,peopl lot fuel spend perfect card,Positive,1
1796,1,sbi card reward point got statement credit best card,Positive,1
1802,0.7,use sbi bank master credit card year appli card onlin credit limit good card process bill clearli share email servic good master card use shop purpos,Positive,1
1803,0.416666667,use sbi elit card two year fine benefit card travel shop groceri reward,Positive,1
1804,0.5,card fetch multitud offer reward point love,Positive,1
1808,0.8,recommend card peopl like elit lifestyl great,Positive,1
1811,0.366666667,sbi good app excel servic use credit card almost year sinc life time free card happi credit limit rs k mostli use travel hotel book shop actual claim reward point year prime card redeem point voucher prioriti pass airport loung access,Positive,1
1812,0.5,shop dine offer sbi fab love,Positive,1
1814,0.9,join benefit great reward spend perfect,Positive,1
1816,0.4,simpli enjoy cherish movi onlin shop voucher avail card,Positive,1
1822,0.4,everi bill cycl enjoy save inr fuel card,Positive,1
1823,0.4,pre order made minimum transact valu inr get cashback duti free store,Positive,1
1825,0.35,made full use reward point got statement credit sbi card,Positive,1
1827,0.55,journey hdfc bank credit card almost year avail bankth credit limit suffici l life time free card movi benefit reward point good get discount shop easi use well,Positive,1
1835,0.705555556,best part use sbi elit card bring good varieti reward fine degre cashback,Positive,1
1837,0.7,good reward via airmil convers singapor airlin card,Positive,1
1839,0.375,super happi bank got fine varieti reward,Positive,1
1840,0.483333333,super content good number reward fine save applic card,Positive,1
1841,0.5,shop amazingli reward sbi card love,Positive,1
1842,0.283333333,benefit cashback reward point main reason choos credit card hsbc get mainli onlin shop offer like variou websit restaur get free loung access airport ask provid voter id verif avail henc havent given havent contact happi process execut behavior polit came document collect,Positive,1
1847,-0.4,money back credit card hdfc bank im get cashback reward point purchas like regardless fashion onlin groceri henc make reward point cash redempt face issu card got credit limit rs lakh durat year base usag,Negative,0
1852,-0.325,use hdfc titanium card year annual fee chargeabl card rupe credit limit wasl initi k time enhanc done emi convers done mani time easi convert nomin charg use card normal bill payment rent payment recharg shop base usag get reward point yet redeem,Negative,0
1858,0.475,use hdfc bank credit card avail onlin discount shop movi ticket offer also fuel benefit got credit card time everyth good far life time free card credit limit pretti good emi option,Positive,1
1860,0.5,love excel degre reward benefit repeatedli come way spend done card,Positive,1
1861,0.5,glad multitud benefit reward get card,Positive,1
1863,0.55,hdfc bank use regalia credit card year think bank give free card given good credit limit use card shop flight book get prioriti pass mostli use domest purpos,Positive,1
1868,0.35,obvious good credit card sever benefit reward,Positive,1
1871,0.6,bank servic state bank india nice provid lot offer discount satisfactori help day everyon prefer onlin shop go person mostli use groceri fuel,Positive,1
1872,0.533333333,hdfc bank offer diner club credit card use card month dont know free card chargeabl credit limit okay mostli shop use get reward point custom servic good,Positive,1
1875,0.7,sbi credit card taken bank use credit card almost year card comfort aspect also repay purpos good credit limit good lakh redempt reward point good also get reward pointsthi card easi use discount shop,Positive,1
1876,0.7,util payment get good reward card,Positive,1
1877,0.75,good card great fuel save assur,Positive,1
1880,0.4,reward redempt easi hassl free sbi,Positive,1
1882,0.2625,use sbi credit card past month credit limit ok chargeabl card everyth good far movi ticket offer fuel benefit airport loung access like card shop purpos sometim get discount,Positive,1
1885,1,cashback scheme sbi card perfect best,Positive,1
1886,0.7,shop groceri sbi card got good reward,Positive,1
1895,0.31547619,sbi offer annual fee chargeabl card plu gst option waiver spend certain amount usag within year verif done receiv card one week along welcom kit credit limit fine k use card shop purpos,Positive,1
1898,1,havent use comprehens reward card ever one best,Positive,1
1902,0.416666667,absolut admir fine benefit reward system citi bank card,Positive,1
1903,0.7,got good discount shop laptop onlin,Positive,1
1905,1,fuel discount got amex card superb,Positive,1
1906,0.35,though proper reward card amount save offer good,Positive,1
1911,0.333333333,super happi receiv x reward fuel refil bpcl,Positive,1
1913,0.8,everi reward point equival inr great card,Positive,1
1916,0.366666667,fuel cost super cheap get x reward point card along transact waiver addit goi,Positive,1
1919,1,couldnt imagin amaz fuel save bpcl card best,Positive,1
1920,0.5,love mani benefit reward card bring reason cost,Positive,1
1921,0.7,credit card bring good rang reward groceri store,Positive,1
1922,0.8,grant great acceler reward spend lac,Positive,1
1926,0.7,transact done card get good number reward point,Positive,1
1927,0.333333333,truli perfect reward base card great,Positive,1
1931,0.325,pretti impress long chain partner restaur sbi eat make good reward,Positive,1
1932,0.5,glad surcharg cost levi fuel payment done icici card,Positive,1
1936,0.7,good redeem reward airmil card,Positive,1
1938,0.633333333,citi bank provid good custom servic best respons offer credit card rs l use much shop purchas restauranteb bill payment rent payment use card amazon voucher monthli get card,Positive,1
1940,0.7,card bring good reward dine travel amaz shop reward,Positive,1
1941,0.4,enjoy benefit shop dine travel sbi elit card,Positive,1
1945,0.8,spend inr get reward point great,Positive,1
1946,1,reward redempt program card best,Positive,1
1947,0.7,good cashback shop type card wherein get cashback per shop,Positive,1
1948,1,best thing particularli appreci card reward point never expir,Positive,1
1949,0.266666667,previous use sbi simpli click card good use whatev purchas onlin like amazon flipkart get reward point purchas groceri get reward point redeem reward point call custom care charg rs redempt never face issu card,Positive,1
1950,0.4,like card bring huge cashback reward offer,Positive,1
1954,0.333333333,super happi card sbi brought multitud reward way,Positive,1
1957,0.4,redeem payback point shop realli becam cheap,Positive,1
1958,0.5,bank offer divers reward low cost perfect bank,Positive,1
1960,0.35,like vast extens sbi catalogu fetch good reward,Positive,1
1964,1,redeem reward get cash credit sbi best,Positive,1
1966,0.266666667,use sbi credit card taken bank agent clearli share inform credit card satisfi credit limit cash back offer reward point use credit card frequent overal good,Positive,1
1967,0.6,perfect card save much travel dine shop,Positive,1
1968,1,card best get x reward shop department store,Positive,1
1969,0.5,bank offer better reward cashback one sbi,Positive,1
1971,0.65,great reward save assur card love,Positive,1
